ds,Room Type,OccupancyRate,Price,Bookings,Season,ExternalFactor,Academic Event
1/16/2020,Single,0.61,80.5,9,Winter,0,0
1/16/2020,Shared,0.48,44.4,10,Winter,0,0
1/16/2020,Suite,0.56,156,10,Winter,1,0
1/17/2020,Single,0.27,63.5,2,Winter,0,0
1/17/2020,Shared,0.45,43.5,7,Winter,0,0
1/17/2020,Suite,0.76,176,0,Winter,1,0
1/18/2020,Single,0.56,78,6,Winter,1,0
1/18/2020,Shared,0.47,44.1,0,Winter,0,0
1/18/2020,Suite,0.39,139,6,Winter,0,0
1/19/2020,Single,0.46,73,10,Winter,0,0
1/19/2020,Shared,0.56,46.8,9,Winter,1,0
1/19/2020,Suite,0.49,149,7,Winter,0,0
1/20/2020,Single,0.42,71,2,Winter,0,0
1/20/2020,Shared,0.72,51.6,0,Winter,1,0
1/20/2020,Suite,0.48,148,5,Winter,0,0
1/21/2020,Single,0.31,65.5,4,Winter,0,0
1/21/2020,Shared,0.59,47.7,5,Winter,0,0
1/21/2020,Suite,0.18,118,1,Winter,0,0
1/22/2020,Single,0.47,73.5,0,Winter,0,0
1/22/2020,Shared,0.78,53.4,7,Winter,1,0
1/22/2020,Suite,0.55,155,8,Winter,1,0
1/23/2020,Single,0.56,78,1,Winter,1,0
1/23/2020,Shared,0.17,35.1,0,Winter,0,0
1/23/2020,Suite,0.19,119,6,Winter,0,0
1/24/2020,Single,0.42,71,0,Winter,0,0
1/24/2020,Shared,0.51,45.3,5,Winter,0,0
1/24/2020,Suite,0.45,145,3,Winter,0,0
1/25/2020,Single,0.63,81.5,1,Winter,1,0
1/25/2020,Shared,0.52,45.6,3,Winter,0,0
1/25/2020,Suite,0.41,141,3,Winter,0,0
1/26/2020,Single,0.66,83,0,Winter,1,0
1/26/2020,Shared,0.4,42,8,Winter,0,0
1/26/2020,Suite,0.52,152,5,Winter,0,0
1/27/2020,Single,0.34,67,6,Winter,0,0
1/27/2020,Shared,0.53,45.9,9,Winter,1,0
1/27/2020,Suite,0.52,152,10,Winter,0,0
1/28/2020,Single,0.52,76,9,Winter,0,0
1/28/2020,Shared,0.57,47.1,0,Winter,0,0
1/28/2020,Suite,0.3,130,5,Winter,0,0
1/29/2020,Single,0.45,72.5,3,Winter,0,0
1/29/2020,Shared,0.5,45,2,Winter,0,0
1/29/2020,Suite,0.26,126,3,Winter,0,0
1/30/2020,Single,0.43,71.5,0,Winter,0,0
1/30/2020,Shared,0.61,48.3,6,Winter,0,0
1/30/2020,Suite,0.5,150,9,Winter,0,0
1/31/2020,Single,0.49,74.5,6,Winter,0,0
1/31/2020,Shared,0.29,38.7,7,Winter,0,0
1/31/2020,Suite,0.32,132,0,Winter,0,0
2/1/2020,Single,0.18,59,7,Winter,0,0
2/1/2020,Shared,0.4,42,1,Winter,0,0
2/1/2020,Suite,0.46,146,0,Winter,0,0
2/2/2020,Single,0.36,68,3,Winter,0,0
2/2/2020,Shared,0.38,41.4,3,Winter,0,0
2/2/2020,Suite,0.44,144,8,Winter,0,0
2/3/2020,Single,0.38,69,2,Winter,0,0
2/3/2020,Shared,0.36,40.8,6,Winter,0,0
2/3/2020,Suite,0.23,123,4,Winter,0,0
2/4/2020,Single,0.34,67,5,Winter,0,0
2/4/2020,Shared,0.53,45.9,0,Winter,0,0
2/4/2020,Suite,0.27,127,1,Winter,0,0
2/5/2020,Single,0.53,76.5,5,Winter,0,0
2/5/2020,Shared,0.68,50.4,2,Winter,1,0
2/5/2020,Suite,0.52,152,1,Winter,0,0
2/6/2020,Single,0.35,67.5,4,Winter,0,0
2/6/2020,Shared,0.63,48.9,2,Winter,1,0
2/6/2020,Suite,0.42,142,3,Winter,0,0
2/7/2020,Single,0.29,64.5,9,Winter,0,0
2/7/2020,Shared,0.19,35.7,8,Winter,0,0
2/7/2020,Suite,0.24,124,7,Winter,0,0
2/8/2020,Single,0.53,76.5,0,Winter,1,0
2/8/2020,Shared,0.23,36.9,1,Winter,0,0
2/8/2020,Suite,0.41,141,0,Winter,0,0
2/9/2020,Single,0.41,70.5,2,Winter,0,0
2/9/2020,Shared,0.33,39.9,10,Winter,0,0
2/9/2020,Suite,0.57,157,3,Winter,1,0
2/10/2020,Single,0.53,76.5,5,Winter,0,0
2/10/2020,Shared,0.48,44.4,3,Winter,0,0
2/10/2020,Suite,0.56,156,1,Winter,0,0
2/11/2020,Single,0.42,71,4,Winter,0,0
2/11/2020,Shared,0.63,48.9,2,Winter,0,0
2/11/2020,Suite,0.46,146,9,Winter,0,0
2/12/2020,Single,0.44,72,7,Winter,0,0
2/12/2020,Shared,0.59,47.7,5,Winter,0,0
2/12/2020,Suite,0.69,169,2,Winter,1,0
2/13/2020,Single,0.41,70.5,9,Winter,0,0
2/13/2020,Shared,0.61,48.3,7,Winter,1,0
2/13/2020,Suite,0.45,145,2,Winter,0,0
2/14/2020,Single,0.31,65.5,1,Winter,0,0
2/14/2020,Shared,0.49,44.7,1,Winter,1,0
2/14/2020,Suite,0.32,132,9,Winter,0,0
2/15/2020,Single,0.68,84,3,Winter,1,0
2/15/2020,Shared,0.62,48.6,6,Winter,0,0
2/15/2020,Suite,0.35,135,7,Winter,0,0
2/16/2020,Single,0.4,70,9,Winter,0,0
2/16/2020,Shared,0.29,38.7,4,Winter,0,0
2/16/2020,Suite,0.64,164,5,Winter,1,0
2/17/2020,Single,0.53,76.5,7,Winter,1,0
2/17/2020,Shared,0.6,48,6,Winter,0,0
2/17/2020,Suite,0.49,149,4,Winter,0,0
2/18/2020,Single,0.55,77.5,2,Winter,0,0
2/18/2020,Shared,0.6,48,2,Winter,0,0
2/18/2020,Suite,0.27,127,7,Winter,0,0
2/19/2020,Single,0.62,81,4,Winter,0,0
2/19/2020,Shared,0.8,54,2,Winter,1,0
2/19/2020,Suite,0.18,118,9,Winter,0,0
2/20/2020,Single,0.61,80.5,6,Winter,1,0
2/20/2020,Shared,0.5,45,7,Winter,0,0
2/20/2020,Suite,0.54,154,3,Winter,1,0
2/21/2020,Single,0.51,75.5,7,Winter,0,0
2/21/2020,Shared,0.36,40.8,0,Winter,0,0
2/21/2020,Suite,0.46,146,10,Winter,0,0
2/22/2020,Single,0.49,74.5,9,Winter,1,0
2/22/2020,Shared,0.59,47.7,5,Winter,0,0
2/22/2020,Suite,0.38,138,8,Winter,0,0
2/23/2020,Single,0.62,81,6,Winter,1,0
2/23/2020,Shared,0.39,41.7,6,Winter,0,0
2/23/2020,Suite,0.57,157,8,Winter,0,0
2/24/2020,Single,0.36,68,8,Winter,0,0
2/24/2020,Shared,0.54,46.2,0,Winter,0,0
2/24/2020,Suite,0.19,119,2,Winter,0,0
2/25/2020,Single,0.72,86,5,Winter,1,0
2/25/2020,Shared,0.31,39.3,4,Winter,0,0
2/25/2020,Suite,0.53,153,3,Winter,0,0
2/26/2020,Single,0.43,71.5,2,Winter,0,0
2/26/2020,Shared,0.24,37.2,4,Winter,0,0
2/26/2020,Suite,0.47,147,3,Winter,0,0
2/27/2020,Single,0.59,79.5,3,Winter,0,0
2/27/2020,Shared,0.66,49.8,0,Winter,1,0
2/27/2020,Suite,0.45,145,5,Winter,0,0
2/28/2020,Single,0.62,81,6,Winter,0,0
2/28/2020,Shared,0.59,47.7,1,Winter,0,0
2/28/2020,Suite,0.19,119,3,Winter,0,0
2/29/2020,Single,0.2,60,10,Winter,0,0
2/29/2020,Shared,0.21,36.3,10,Winter,0,0
2/29/2020,Suite,0.5,150,3,Winter,1,0
3/1/2020,Single,0.88,94,7,Spring,0,0
3/1/2020,Shared,0.35,40.5,1,Spring,0,0
3/1/2020,Suite,0.55,155,10,Spring,0,0
3/2/2020,Single,0.38,69,5,Spring,0,0
3/2/2020,Shared,0.87,56.1,10,Spring,1,0
3/2/2020,Suite,1.02,202,9,Spring,1,0
3/3/2020,Single,0.74,87,4,Spring,0,0
3/3/2020,Shared,0.76,52.8,6,Spring,0,0
3/3/2020,Suite,0.46,146,4,Spring,0,0
3/4/2020,Single,0.88,94,2,Spring,1,0
3/4/2020,Shared,0.46,43.8,5,Spring,0,0
3/4/2020,Suite,1.06,206,3,Spring,1,0
3/5/2020,Single,0.92,96,10,Spring,0,0
3/5/2020,Shared,0.63,48.9,0,Spring,0,0
3/5/2020,Suite,0.57,157,3,Spring,0,0
3/6/2020,Single,0.49,74.5,4,Spring,0,0
3/6/2020,Shared,0.68,50.4,2,Spring,0,0
3/6/2020,Suite,0.95,195,1,Spring,1,0
3/7/2020,Single,0.71,85.5,9,Spring,0,0
3/7/2020,Shared,0.83,54.9,2,Spring,0,0
3/7/2020,Suite,0.69,169,6,Spring,0,0
3/8/2020,Single,0.27,63.5,5,Spring,0,0
3/8/2020,Shared,0.37,41.1,10,Spring,0,0
3/8/2020,Suite,0.8,180,2,Spring,1,0
3/9/2020,Single,1.08,104,8,Spring,1,0
3/9/2020,Shared,0.62,48.6,7,Spring,0,0
3/9/2020,Suite,0.79,179,3,Spring,0,0
3/10/2020,Single,0.74,87,4,Spring,0,0
3/10/2020,Shared,0.95,58.5,10,Spring,0,0
3/10/2020,Suite,0.63,163,0,Spring,0,0
3/11/2020,Single,0.94,97,4,Spring,0,0
3/11/2020,Shared,0.38,41.4,9,Spring,0,0
3/11/2020,Suite,1.09,209,9,Spring,1,0
3/12/2020,Single,0.32,66,6,Spring,0,0
3/12/2020,Shared,0.69,50.7,1,Spring,0,0
3/12/2020,Suite,0.92,192,6,Spring,0,0
3/13/2020,Single,0.65,82.5,7,Spring,0,0
3/13/2020,Shared,0.59,47.7,3,Spring,0,0
3/13/2020,Suite,0.8,180,9,Spring,0,0
3/14/2020,Single,0.45,72.5,10,Spring,0,0
3/14/2020,Shared,0.3,39,7,Spring,0,0
3/14/2020,Suite,0.88,188,10,Spring,0,0
3/15/2020,Single,0.97,98.5,7,Spring,1,0
3/15/2020,Shared,0.55,46.5,2,Spring,0,0
3/15/2020,Suite,0.88,188,9,Spring,0,0
3/16/2020,Single,0.38,69,8,Spring,0,0
3/16/2020,Shared,0.79,53.7,9,Spring,0,0
3/16/2020,Suite,0.46,146,6,Spring,0,0
3/17/2020,Single,0.82,91,8,Spring,0,0
3/17/2020,Shared,0.29,38.7,7,Spring,0,0
3/17/2020,Suite,0.31,131,0,Spring,0,0
3/18/2020,Single,0.24,62,4,Spring,0,0
3/18/2020,Shared,0.93,57.9,0,Spring,0,0
3/18/2020,Suite,0.82,182,7,Spring,1,0
3/19/2020,Single,0.63,81.5,2,Spring,0,0
3/19/2020,Shared,0.44,43.2,9,Spring,0,0
3/19/2020,Suite,0.66,166,0,Spring,0,0
3/20/2020,Single,0.57,78.5,3,Spring,0,0
3/20/2020,Shared,0.86,55.8,9,Spring,0,0
3/20/2020,Suite,0.39,139,1,Spring,0,0
3/21/2020,Single,0.39,69.5,2,Spring,0,0
3/21/2020,Shared,1.15,64.5,1,Spring,1,0
3/21/2020,Suite,0.84,184,5,Spring,0,0
3/22/2020,Single,0.53,76.5,1,Spring,0,0
3/22/2020,Shared,0.93,57.9,0,Spring,1,0
3/22/2020,Suite,0.45,145,6,Spring,0,0
3/23/2020,Single,0.51,75.5,8,Spring,0,0
3/23/2020,Shared,0.52,45.6,5,Spring,0,0
3/23/2020,Suite,0.74,174,0,Spring,1,0
3/24/2020,Single,0.73,86.5,8,Spring,1,0
3/24/2020,Shared,0.54,46.2,9,Spring,0,0
3/24/2020,Suite,0.88,188,4,Spring,0,0
3/25/2020,Single,0.4,70,7,Spring,0,0
3/25/2020,Shared,0.47,44.1,9,Spring,0,0
3/25/2020,Suite,0.46,146,5,Spring,0,0
3/26/2020,Single,0.9,95,8,Spring,0,0
3/26/2020,Shared,0.88,56.4,6,Spring,0,0
3/26/2020,Suite,0.35,135,7,Spring,0,0
3/27/2020,Single,0.95,97.5,0,Spring,0,0
3/27/2020,Shared,0.49,44.7,10,Spring,0,0
3/27/2020,Suite,0.87,187,2,Spring,1,0
3/28/2020,Single,0.3,65,6,Spring,0,0
3/28/2020,Shared,0.82,54.6,6,Spring,1,0
3/28/2020,Suite,0.76,176,5,Spring,0,0
3/29/2020,Single,0.46,73,2,Spring,0,0
3/29/2020,Shared,1.12,63.6,3,Spring,1,0
3/29/2020,Suite,0.29,129,0,Spring,0,0
3/30/2020,Single,0.6,80,2,Spring,0,0
3/30/2020,Shared,0.49,44.7,2,Spring,0,0
3/30/2020,Suite,0.59,159,2,Spring,0,0
3/31/2020,Single,0.87,93.5,3,Spring,0,0
3/31/2020,Shared,0.89,56.7,3,Spring,0,0
3/31/2020,Suite,0.3,130,1,Spring,0,0
4/1/2020,Single,0.8,90,3,Spring,0,0
4/1/2020,Shared,0.94,58.2,1,Spring,1,0
4/1/2020,Suite,0.74,174,9,Spring,0,0
4/2/2020,Single,0.76,88,0,Spring,1,0
4/2/2020,Shared,0.49,44.7,3,Spring,0,0
4/2/2020,Suite,0.81,181,7,Spring,0,0
4/3/2020,Single,0.67,83.5,0,Spring,0,0
4/3/2020,Shared,0.63,48.9,6,Spring,0,0
4/3/2020,Suite,0.48,148,5,Spring,0,0
4/4/2020,Single,0.66,83,4,Spring,0,0
4/4/2020,Shared,0.76,52.8,10,Spring,0,0
4/4/2020,Suite,0.86,186,10,Spring,1,0
4/5/2020,Single,0.43,71.5,4,Spring,0,0
4/5/2020,Shared,0.51,45.3,6,Spring,0,0
4/5/2020,Suite,0.8,180,8,Spring,0,0
4/6/2020,Single,0.62,81,2,Spring,0,0
4/6/2020,Shared,0.55,46.5,5,Spring,0,0
4/6/2020,Suite,0.84,184,8,Spring,0,0
4/7/2020,Single,0.54,77,3,Spring,0,0
4/7/2020,Shared,1.08,62.4,4,Spring,1,0
4/7/2020,Suite,0.7,170,4,Spring,0,0
4/8/2020,Single,0.6,80,4,Spring,0,0
4/8/2020,Shared,0.9,57,8,Spring,0,0
4/8/2020,Suite,0.87,187,10,Spring,1,0
4/9/2020,Single,0.47,73.5,9,Spring,0,0
4/9/2020,Shared,0.42,42.6,5,Spring,0,0
4/9/2020,Suite,0.87,187,3,Spring,0,0
4/10/2020,Single,0.49,74.5,9,Spring,0,0
4/10/2020,Shared,0.35,40.5,0,Spring,0,0
4/10/2020,Suite,0.28,128,3,Spring,0,0
4/11/2020,Single,0.61,80.5,9,Spring,0,0
4/11/2020,Shared,0.55,46.5,0,Spring,0,0
4/11/2020,Suite,0.83,183,8,Spring,0,0
4/12/2020,Single,0.78,89,2,Spring,0,0
4/12/2020,Shared,0.56,46.8,5,Spring,0,0
4/12/2020,Suite,0.6,160,7,Spring,0,0
4/13/2020,Single,0.65,82.5,4,Spring,0,0
4/13/2020,Shared,0.51,45.3,10,Spring,0,0
4/13/2020,Suite,0.89,189,6,Spring,0,0
4/14/2020,Single,0.89,94.5,6,Spring,0,0
4/14/2020,Shared,0.85,55.5,6,Spring,1,0
4/14/2020,Suite,0.47,147,4,Spring,0,0
4/15/2020,Single,0.27,63.5,7,Spring,0,0
4/15/2020,Shared,0.45,43.5,5,Spring,0,0
4/15/2020,Suite,0.58,158,1,Spring,0,0
4/16/2020,Single,0.57,78.5,0,Spring,0,0
4/16/2020,Shared,1.05,61.5,6,Spring,1,0
4/16/2020,Suite,0.58,158,6,Spring,0,0
4/17/2020,Single,0.48,74,2,Spring,0,0
4/17/2020,Shared,0.51,45.3,0,Spring,0,0
4/17/2020,Suite,0.49,149,9,Spring,0,0
4/18/2020,Single,0.78,89,6,Spring,0,0
4/18/2020,Shared,0.77,53.1,0,Spring,0,0
4/18/2020,Suite,0.77,177,5,Spring,1,0
4/19/2020,Single,0.67,83.5,9,Spring,0,0
4/19/2020,Shared,1.03,60.9,6,Spring,1,0
4/19/2020,Suite,0.76,176,5,Spring,0,0
4/20/2020,Single,0.38,69,5,Spring,0,0
4/20/2020,Shared,0.65,49.5,4,Spring,0,0
4/20/2020,Suite,0.91,191,2,Spring,0,0
4/21/2020,Single,0.28,64,8,Spring,0,0
4/21/2020,Shared,0.65,49.5,0,Spring,0,0
4/21/2020,Suite,0.76,176,8,Spring,0,0
4/22/2020,Single,1.17,108.5,8,Spring,1,0
4/22/2020,Shared,0.76,52.8,4,Spring,1,0
4/22/2020,Suite,0.94,194,5,Spring,0,0
4/23/2020,Single,0.35,67.5,2,Spring,0,0
4/23/2020,Shared,0.78,53.4,2,Spring,1,0
4/23/2020,Suite,0.3,130,0,Spring,0,0
4/24/2020,Single,1.19,109.5,3,Spring,1,0
4/24/2020,Shared,0.32,39.6,10,Spring,0,0
4/24/2020,Suite,0.65,165,7,Spring,0,0
4/25/2020,Single,1.14,107,10,Spring,1,0
4/25/2020,Shared,0.68,50.4,3,Spring,0,0
4/25/2020,Suite,0.49,149,0,Spring,0,0
4/26/2020,Single,0.88,94,3,Spring,1,0
4/26/2020,Shared,1.2,66,1,Spring,1,0
4/26/2020,Suite,0.47,147,7,Spring,0,0
4/27/2020,Single,0.59,79.5,9,Spring,0,0
4/27/2020,Shared,1.16,64.8,6,Spring,1,0
4/27/2020,Suite,1.17,217,4,Spring,1,0
4/28/2020,Single,0.46,73,3,Spring,0,0
4/28/2020,Shared,0.66,49.8,3,Spring,0,0
4/28/2020,Suite,0.91,191,5,Spring,0,0
4/29/2020,Single,0.32,66,8,Spring,0,0
4/29/2020,Shared,0.96,58.8,3,Spring,1,0
4/29/2020,Suite,0.37,137,3,Spring,0,0
4/30/2020,Single,0.79,89.5,1,Spring,0,0
4/30/2020,Shared,0.57,47.1,0,Spring,0,0
4/30/2020,Suite,0.91,191,8,Spring,0,0
5/1/2020,Single,1.12,106,5,Spring,1,0
5/1/2020,Shared,0.91,57.3,2,Spring,0,0
5/1/2020,Suite,0.67,167,9,Spring,0,0
5/2/2020,Single,0.88,94,9,Spring,0,0
5/2/2020,Shared,0.88,56.4,0,Spring,0,0
5/2/2020,Suite,0.61,161,7,Spring,0,0
5/3/2020,Single,0.6,80,3,Spring,0,0
5/3/2020,Shared,0.26,37.8,1,Spring,0,0
5/3/2020,Suite,0.92,192,2,Spring,0,0
5/4/2020,Single,0.26,63,0,Spring,0,0
5/4/2020,Shared,0.83,54.9,8,Spring,0,0
5/4/2020,Suite,0.5,150,0,Spring,0,0
5/5/2020,Single,0.32,66,1,Spring,0,0
5/5/2020,Shared,0.43,42.9,1,Spring,0,0
5/5/2020,Suite,0.35,135,10,Spring,0,0
5/6/2020,Single,1.14,107,0,Spring,1,0
5/6/2020,Shared,0.64,49.2,1,Spring,0,0
5/6/2020,Suite,0.93,193,3,Spring,0,0
5/7/2020,Single,0.83,91.5,7,Spring,0,0
5/7/2020,Shared,0.3,39,4,Spring,0,0
5/7/2020,Suite,0.93,193,7,Spring,0,0
5/8/2020,Single,0.68,84,3,Spring,0,0
5/8/2020,Shared,0.58,47.4,9,Spring,0,0
5/8/2020,Suite,0.77,177,9,Spring,0,0
5/9/2020,Single,0.91,95.5,10,Spring,1,0
5/9/2020,Shared,0.57,47.1,0,Spring,0,0
5/9/2020,Suite,0.25,125,8,Spring,0,0
5/10/2020,Single,0.77,88.5,10,Spring,0,0
5/10/2020,Shared,0.38,41.4,8,Spring,0,0
5/10/2020,Suite,0.66,166,7,Spring,0,0
5/11/2020,Single,0.92,96,7,Spring,0,0
5/11/2020,Shared,1.06,61.8,1,Spring,1,0
5/11/2020,Suite,0.72,172,4,Spring,0,0
5/12/2020,Single,1.17,108.5,3,Spring,1,0
5/12/2020,Shared,0.47,44.1,4,Spring,0,0
5/12/2020,Suite,0.86,186,7,Spring,0,0
5/13/2020,Single,0.78,89,6,Spring,1,0
5/13/2020,Shared,0.57,47.1,4,Spring,0,0
5/13/2020,Suite,0.36,136,8,Spring,0,0
5/14/2020,Single,0.79,89.5,8,Spring,0,0
5/14/2020,Shared,0.67,50.1,1,Spring,0,0
5/14/2020,Suite,0.99,199,1,Spring,1,0
5/15/2020,Single,0.62,81,5,Spring,0,0
5/15/2020,Shared,0.77,53.1,3,Spring,0,0
5/15/2020,Suite,0.59,159,3,Spring,0,0
5/16/2020,Single,0.84,92,6,Spring,0,0
5/16/2020,Shared,0.66,49.8,8,Spring,0,0
5/16/2020,Suite,0.6,160,9,Spring,0,0
5/17/2020,Single,0.52,76,2,Spring,0,0
5/17/2020,Shared,0.73,51.9,0,Spring,0,0
5/17/2020,Suite,0.35,135,5,Spring,0,0
5/18/2020,Single,1.05,102.5,8,Spring,1,0
5/18/2020,Shared,0.9,57,3,Spring,1,0
5/18/2020,Suite,0.25,125,9,Spring,0,0
5/19/2020,Single,0.87,93.5,3,Spring,0,0
5/19/2020,Shared,0.76,52.8,5,Spring,1,0
5/19/2020,Suite,0.77,177,6,Spring,0,0
5/20/2020,Single,0.69,84.5,1,Spring,0,0
5/20/2020,Shared,0.89,56.7,5,Spring,1,0
5/20/2020,Suite,0.93,193,1,Spring,0,0
5/21/2020,Single,0.41,70.5,5,Spring,0,0
5/21/2020,Shared,0.87,56.1,8,Spring,0,0
5/21/2020,Suite,0.31,131,4,Spring,0,0
5/22/2020,Single,0.38,69,2,Spring,0,0
5/22/2020,Shared,0.8,54,2,Spring,0,0
5/22/2020,Suite,0.35,135,7,Spring,0,0
5/23/2020,Single,0.89,94.5,5,Spring,0,0
5/23/2020,Shared,0.63,48.9,7,Spring,0,0
5/23/2020,Suite,0.76,176,0,Spring,0,0
5/24/2020,Single,0.83,91.5,2,Spring,0,0
5/24/2020,Shared,0.93,57.9,7,Spring,0,0
5/24/2020,Suite,0.38,138,5,Spring,0,0
5/25/2020,Single,0.67,83.5,3,Spring,0,0
5/25/2020,Shared,0.37,41.1,4,Spring,0,0
5/25/2020,Suite,0.76,176,0,Spring,1,0
5/26/2020,Single,0.86,93,1,Spring,1,0
5/26/2020,Shared,0.71,51.3,3,Spring,0,0
5/26/2020,Suite,0.28,128,2,Spring,0,0
5/27/2020,Single,1.02,101,2,Spring,1,0
5/27/2020,Shared,0.61,48.3,3,Spring,0,0
5/27/2020,Suite,0.45,145,4,Spring,0,0
5/28/2020,Single,0.91,95.5,5,Spring,0,0
5/28/2020,Shared,0.91,57.3,7,Spring,0,0
5/28/2020,Suite,0.86,186,3,Spring,0,0
5/29/2020,Single,1.12,106,8,Spring,1,0
5/29/2020,Shared,0.89,56.7,0,Spring,1,0
5/29/2020,Suite,0.79,179,10,Spring,1,0
5/30/2020,Single,0.81,90.5,4,Spring,0,0
5/30/2020,Shared,0.35,40.5,3,Spring,0,0
5/30/2020,Suite,1.15,215,4,Spring,1,0
5/31/2020,Single,0.67,83.5,8,Spring,0,0
5/31/2020,Shared,0.58,47.4,9,Spring,0,0
5/31/2020,Suite,0.81,181,2,Spring,1,0
6/1/2020,Single,0.88,94,0,Summer,0,0
6/1/2020,Shared,0.52,45.6,7,Summer,0,0
6/1/2020,Suite,0.69,169,1,Summer,0,0
6/2/2020,Single,1.45,122.5,3,Summer,1,0
6/2/2020,Shared,1,60,8,Summer,1,0
6/2/2020,Suite,0.96,196,0,Summer,0,0
6/3/2020,Single,1.19,109.5,2,Summer,0,0
6/3/2020,Shared,0.94,58.2,9,Summer,0,0
6/3/2020,Suite,0.4,140,3,Summer,0,0
6/4/2020,Single,0.85,92.5,8,Summer,0,0
6/4/2020,Shared,1.2,66,3,Summer,1,0
6/4/2020,Suite,1.07,207,6,Summer,0,0
6/5/2020,Single,1.24,112,10,Summer,1,0
6/5/2020,Shared,0.65,49.5,7,Summer,0,0
6/5/2020,Suite,0.66,166,7,Summer,0,0
6/6/2020,Single,0.35,67.5,10,Summer,0,0
6/6/2020,Shared,0.36,40.8,7,Summer,0,0
6/6/2020,Suite,0.92,192,9,Summer,0,0
6/7/2020,Single,0.83,91.5,8,Summer,0,0
6/7/2020,Shared,0.98,59.4,6,Summer,0,0
6/7/2020,Suite,0.67,167,10,Summer,0,0
6/8/2020,Single,1.16,108,4,Summer,1,0
6/8/2020,Shared,0.45,43.5,8,Summer,0,0
6/8/2020,Suite,0.34,134,6,Summer,0,0
6/9/2020,Single,0.77,88.5,6,Summer,0,0
6/9/2020,Shared,0.76,52.8,7,Summer,0,0
6/9/2020,Suite,0.47,147,7,Summer,0,0
6/10/2020,Single,0.71,85.5,9,Summer,0,0
6/10/2020,Shared,0.57,47.1,3,Summer,0,0
6/10/2020,Suite,0.56,156,8,Summer,0,0
6/11/2020,Single,1.38,119,4,Summer,1,0
6/11/2020,Shared,1.1,63,2,Summer,0,0
6/11/2020,Suite,0.58,158,7,Summer,0,0
6/12/2020,Single,0.86,93,9,Summer,0,0
6/12/2020,Shared,0.37,41.1,5,Summer,0,0
6/12/2020,Suite,0.89,189,6,Summer,0,0
6/13/2020,Single,1,100,0,Summer,0,0
6/13/2020,Shared,1.17,65.1,9,Summer,1,0
6/13/2020,Suite,1.17,217,10,Summer,0,0
6/14/2020,Single,1.2,110,6,Summer,1,0
6/14/2020,Shared,0.49,44.7,4,Summer,0,0
6/14/2020,Suite,1.06,206,4,Summer,0,0
6/15/2020,Single,0.32,66,3,Summer,0,0
6/15/2020,Shared,0.44,43.2,8,Summer,0,0
6/15/2020,Suite,1.13,213,7,Summer,1,0
6/16/2020,Single,0.9,95,6,Summer,0,0
6/16/2020,Shared,1.1,63,2,Summer,0,0
6/16/2020,Suite,1.34,234,8,Summer,1,0
